"","Var1","Freq"
"355","Mohammadreza Shakeri",6
"356","Mona S Alwahibi",6
"357","Mubshar Hussain",6
"358","Muhammad Ali Abdullah Shah",6
"359","Muhammad Tanveer Munir",6
"360","Na Li",6
"361","Na Wang",6
"362","Nader G Abraham",6
"363","Naoya Taira",6
"364","Ning Li",6
"365","Peng Guo",6
"366","Peng Li",6
"367","Peng Wang",6
"368","Qi Zhang",6
"369","Qian Liu",6
"370","Qing Liu",6
"371","Richard I Feldman",6
"372","Robert E Michler",6
"373","Rui Li",6
"374","Rui Zhang",6
"375","S Wang",6
"376","Sami Ul-Allah",6
"377","Sanjeeva Mohanam",6
"378","Santanu Patra",6
"379","Sarmila Majumder",6
"380","So Young Kim",6
"381","Songyang Liu",6
"382","Subhan Danish",6
"383","Sulaiman Ali Alharbi",6
"384","Sung Soo Kim",6
"385","Tae Cheon Kang",6
"386","Takao Takahashi",6
"387","Ting Zhang",6
"388","Tingting Liu",6
"389","Vadim Budagian",6
"390","Vladimir Kren",6
"391","Wanja Kildal",6
"392","Wataru Matsuyama",6
"393","Wei Zhao",6
"394","Weiwei Wang",6
"395","Xi Kathy Zhou",6
"396","Xi Li",6
"397","Xiaodong Wang",6
"398","Xin Chen",6
"399","Xin Li",6
"400","Xin Liu",6
"401","Y Liu",6
"402","Y Zhao",6
"403","Yan Ma",6
"404","Yan Wu",6
"405","Yi Wang",6
"406","Ying Lu",6
"407","Yoshihiro Mezaki",6
"408","Yuan Gao",6
"409","Yuan Wang",6
"410","Yuan Wu",6
"411","Yuanyuan Wang",6
"412","Yue Wang",6
"413","Yun Tae Kim",6
"414","Yuxiang Zhang",6
"415","Zhaobo Chen",6
"416","Zhen Li",6
"417","Zhihong Li",6
"418","Zhonglin Xie",6
"419","Zhuo Zhang",6
"420","Abdul Sattar",5
"421","Abolfazl Akbarzadeh",5
"422","Afshin Taheriazam",5
"423","Ahmed M El-Shehawi",5
"424","Aivar Evdokimovich (ÐÐ¹Ð²Ð°Ñ€ Ð•Ð²Ð´Ð¾ÐºÐ¸Ð¼Ð¾Ð²Ð¸Ñ‡) Aylarov (ÐÐ¹Ð»Ð°Ñ€Ð¾Ð²)",5
"425","Albrecht Reith",5
"426","Amit Ayer",5
"427","Anabel Heiniger",5
"428","Anandan Paldurai",5
"429","Anna Papierniak",5
"430","Antonio Jimenez-Velasco",5
"431","Benoit Viollet",5
"432","Bernfried Zickmann",5
"433","Bing Chen",5
"434","Bing Han",5
"435","Binod Kumar",5
"436","Bo Gao",5
"437","Bo Huang",5
"438","Bo Yu",5
"439","Chandramu Chetty",5
"440","Chang Xu",5
"441","Che Ok Jeon",5
"442","Chen Wang",5
"443","Cheng Zhang",5
"444","Chunmei Wang",5
"445","Dae Won Kim",5
"446","Dale Kiesewetter",5
"447","Daniel J Antoine",5
"448","Daniel Kavan",5
"449","Donato Cappetta",5
"450","Edward K Vogel",5
"451","Fazlul H Sarkar",5
"452","Fei Li",5
"453","Feng Gao",5
"454","Feng Li",5
"455","Feng Xu",5
"456","Genhai Shen",5
"457","Geoffrey S Ginsburg",5
"458","Giuseppe Viglietto",5
"459","Guillermo Blanco",5
"460","Guoyu Wang",5
"461","H Wang",5
"462","Hamed A Ghramh",5
"463","Hang Dong",5
"464","Hayssam M Ali",5
"465","Hong Wu",5
"466","Hua Guo",5
"467","Hua Yang",5
"468","Huan Wang",5
"469","Huban Kutay",5
"470","Hui Cao",5
"471","Hui Liu",5
"472","Huixian Lin",5
"473","Hyung-Shik Shin",5
"474","J Wu",5
"475","Jae Jin An",5
"476","Jayaraj Ravindran",5
"477","Jeffrey D Ritzenthaler",5
"478","Ji Zhang",5
"479","Jian Wu",5
"480","Jianfeng Li",5
"481","Jianing Zhang",5
"482","Jie Sun",5
"483","Jie Zhao",5
"484","Jing Huang",5
"485","Jing Lin",5
"486","Jing Sun",5
"487","Jing Yang",5
"488","Jing Yu",5
"489","Jing Zhao",5
"490","Jiro Fujita",5
"491","Joao Ferreira-Martins",5
"492","Jong Hak Park",5
"493","Jun Zhang",5
"494","Jun Zhou",5
"495","Jun-Nosuke Uchihara",5
"496","Kailasa Suresh Kumar",5
"497","Karel Bezouska",5
"498","Ke Zhang",5
"499","Kerstin D Rohm",5
"500","Kevin Xu",5
"501","Khalid Ali Khan",5
"502","Kun Wang",5
"503","Lei Yang",5
"504","Li Ma",5
"505","Li Yan",5
"506","Liang Liu",5
"507","Lieping Chen",5
"508","Lin Wang",5
"509","Lin Wu",5
"510","Lin Yang",5
"511","Lin Zhang",5
"512","Lucio Miele",5
"513","Lutao Du",5
"514","M Li",5
